OBJECTID *,Site_ID *,Ftr_ID *,Ftr_Name,Last_Updt,DpMd_NoNm,Ref_Detail,DpMd_RefID,GEM_Name,GEM_RefID,Remarks
42,MN00008,Mo00745,221 Zone,4/16/2018,Conduit-type Ni-Cu-PGE ,Page 84,Fletcher and others (2018),Magmatic Sulfides,du Bray (1995),<Null>
43,MO00002,Mo00774,Higdon,6/22/2018,Southeast Missouri Pb-Zn,Page 220-221,Briskey (1986); Leach and others (2010),Mississippi Valley Type Pb-Zn,Leach and others (1995),<Null>
44,MO00013,Mo00559,Madison,5/10/2018,Mississippi Valley-type,Page 1,Brooke (1981),Mississippi Valley Type Pb-Zn,du Bray (1995),<Null>
45,MO00014,Mo00560,Boss-Bixby,5/10/2018,Iron oxide-copper-gold,Page 154,Nold and others (2014),Unclassified,<Null>,<Null>
46,MT00002,Mo00754,Johnny Lee Upper Zone,4/20/2018,Shale-hosted massive sulfide,Page 8-1,Winckers and others (2013),<Null>,<Null>,<Null>
47,MT00002,Mo00755,Johnny Lee Lower Zone,4/20/2018,Shale-hosted massive sulfide,Page 8-1,Winckers and others (2013),<Null>,<Null>,<Null>
48,MT00002,Mo00756,Lowry Middle Zone,4/20/2018,Shale-hosted massive sulfide,Page 8-1,Winckers and others (2013),<Null>,<Null>,<Null>
49,NC00001,Mr00047,Webster District,5/14/2018,38a - Lateritic Ni,Page 375,U.S. Geological Survey and U.S. Bureau of Mines (1968),Unclassified,<Null>,<Null>
50,NM00041,Mo00773,Black Hawk ,5/11/2018,Five-element Veins,Page 351,Hitzman and others (2017),Unclassified,<Null>,<Null>
51,OR00001,Mo00748,Turner,4/18/2018,"Volcanogenic massive sulfide, Cyprus model",Page 8-1,Marek and others (2010),Volcanic Hosted Massive Sulfides,du Bray (1995),<Null>
52,OR00002,Mo00561,Eight Dollar Mountain,5/10/2018,38a - Lateritic Ni,Page 28,Hull (1978),Unclassified,<Null>,<Null>
53,OR00005,Mo00767,Nickel Mountain,4/27/2018,38a - Lateritic Ni,Pate 1653,Cumberlidge and Chace (1968),Unclassified,<Null>,<Null>
54,PA00001,Mo00749,Cornwall,4/18/2018,Fe skarn,Page 73,Lapham (1968),Fe Skarns,du Bray (1995),<Null>
55,PR00001,Mo00629,Guanajibo,7/17/2018,Nickel-Cobalt Laterites,Page 10,Marsh and others (2013),<Null>,<Null>,<Null>
56,PR00002,Mo00630,Punta Guanajibo,7/17/2018,Nickel-Cobalt Laterites,Page 10,Marsh and others (2013),<Null>,<Null>,<Null>
57,PR00003,Mo00631,Las Mesas,7/17/2018,Nickel-Cobalt Laterites,Page 10,Marsh and others (2013),<Null>,<Null>,<Null>
58,PR00004,Mo00632,North deposit,7/17/2018,Nickel-Cobalt Laterites,Page 10,Marsh and others (2013),<Null>,<Null>,<Null>
59,PR00004,Mo00633,South deposit,7/17/2018,Nickel-Cobalt Laterites,Page 10,Marsh and others (2013),<Null>,<Null>,<Null>
60,PR00005,Mo00634,West deposit,7/17/2018,Nickel-Cobalt Laterites,Page 10,Marsh and others (2013),<Null>,<Null>,<Null>
61,PR00005,Mo00635,East deposit,7/17/2018,Nickel-Cobalt Laterites,Page 10,Marsh and others (2013),<Null>,<Null>,<Null>
62,TN00001,Mr00037,Ducktown District,5/11/2018,Massive sulfide,Page 13,U.S. Geological Survey and U.S. Bureau of Mines (1968),<Null>,<Null>,<Null>
